product_id,brand,model,product_name,price,type,deviation_percent,market_mean,total_offers,price_range,ollama_analysis
apple_iphone16,Apple,IPHONE 16,iPhone 16 comme neuf avec garantie de 2 ans de l'étranger,79900.0,trop_haut,902.9491903394428,7966.505259649122,285,12-79900,"Erreur: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=30)"
apple_iphone11,Apple,IPHONE 11,"iPhone 11 en bon état, 64gb, 87btr. prix négociable",19500.0,trop_haut,732.4378873268686,2342.5171171171173,555,35-19500,"Erreur: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=30)"
samsung_a06,Samsung,A06,"Samsung Galaxy A06 – 6,7"" HD+ – 6 Go RAM – 128 Go ROM – Double SIM – Batterie Longue Durée – Noir Élégant + chargeur, les écouteurs, incassable gratuit",999.0,trop_haut,668.7561943503543,129.95017241379313,29,1-999,"Erreur: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=30)"
samsung_a06,Samsung,A06,"Samsung Galaxy A06 – 6,7"" HD+ – 6 Go RAM – 128 Go ROM – Double SIM – Batterie Longue Durée – Noir Élégant + chargeur, les écouteurs, incassable gratuit",999.0,trop_haut,668.7561943503543,129.95017241379313,29,1-999,"Erreur: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=30)"
samsung_a06,Samsung,A06,"Samsung Galaxy A06 – 6,7"" HD+ – 6 Go RAM – 128 Go ROM – Double SIM – Batterie Longue Durée – Noir Élégant + chargeur, les écouteurs, incassable gratuit",999.0,trop_haut,668.7561943503543,129.95017241379313,29,1-999,"Erreur: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=30)"
apple_iphone12,Apple,IPHONE 12,iphone 12 128G (fih wa7d chwia k7olia f afficheur),22000.0,trop_haut,638.7400316423729,2978.0435684647305,482,100-22000,"Erreur: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=30)"
samsung_samsunga05,Samsung,SAMSUNG A05,هاتف سامسونغ 05 حالة جديدة البتارية جيدة 64gb/4ram,8000.0,trop_haut,626.4472190692395,1101.25,40,350-8000,"Erreur: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=30)"
samsung_samsunga36,Samsung,SAMSUNG A36,Samsung A36 5G encore dans son carton scellé,32000.0,trop_haut,612.1432027092405,4493.478260869565,23,2300-32000,"Erreur: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=30)"
apple_iphone16,Apple,IPHONE 16,iPhone 16 comme neuf avec garantie de 2 ans de l'étranger,49900.0,trop_haut,526.3725231281376,7966.505259649122,285,12-79900,"Erreur: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=30)"
samsung_samsungs9,Samsung,SAMSUNG S9,Samsung s9 modele 2022 de france et M10 leziattes,7000.0,trop_haut,524.0310077519381,1121.7391304347825,23,350-7000,"Erreur: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=30)"
